current_time,temp,humidity,main
2026-03-05 05:40:45,11.76,40,Haze
2026-03-05 06:30:47,11.76,43,Clear
2026-03-05 07:25:35,10.76,46,Clouds
2026-03-05 07:58:01,10.76,46,Haze
2026-03-05 08:34:44,10.76,46,Haze
2026-03-05 09:09:37,7.36,73,Rain
2026-03-05 09:59:58,6.76,76,Rain
2026-03-05 10:39:39,4.76,93,Rain
2026-03-05 11:19:23,4.74,91,Rain
2026-03-05 11:50:21,3.76,93,Rain
2026-03-05 12:27:08,3.74,92,Rain
2026-03-05 13:39:47,-0.24,100,Snow
2026-03-05 14:26:48,0.76,100,Snow
2026-03-05 15:10:38,0.76,100,Snow
2026-03-05 16:00:35,0.76,100,Snow
2026-03-05 18:05:55,0.76,100,Mist
2026-03-05 19:23:36,-0.24,100,Mist
2026-03-05 20:02:29,2.6,74,Clouds
2026-03-05 20:46:00,-0.24,100,Mist
2026-03-05 21:17:59,0.76,100,Mist
2026-03-05 21:51:49,0.76,100,Mist
2026-03-05 22:15:49,0.76,100,Mist
2026-03-05 23:20:35,2,78,Clouds
2026-03-06 00:00:07,1.76,93,Mist
2026-03-06 02:07:03,3.4,65,Clouds
