current_time,temp,humidity,main
2026-03-05 05:40:45,11.76,40,Haze
2026-03-05 06:30:47,11.76,43,Clear
2026-03-05 07:25:35,10.76,46,Clouds
2026-03-05 07:58:01,10.76,46,Haze
2026-03-05 08:34:44,10.76,46,Haze
2026-03-05 09:09:37,7.36,73,Rain
2026-03-05 09:59:58,6.76,76,Rain
2026-03-05 10:39:39,4.76,93,Rain
2026-03-05 11:19:23,4.74,91,Rain
2026-03-05 11:50:21,3.76,93,Rain
2026-03-05 12:27:08,3.74,92,Rain
2026-03-05 13:39:47,-0.24,100,Snow
2026-03-05 14:26:48,0.76,100,Snow
2026-03-05 15:10:38,0.76,100,Snow
2026-03-05 16:00:35,0.76,100,Snow
2026-03-05 18:05:55,0.76,100,Mist
2026-03-05 19:23:36,-0.24,100,Mist
2026-03-05 20:02:29,2.6,74,Clouds
2026-03-05 20:46:00,-0.24,100,Mist
2026-03-05 21:17:59,0.76,100,Mist
2026-03-05 21:51:49,0.76,100,Mist
2026-03-05 22:15:49,0.76,100,Mist
2026-03-05 23:20:35,2,78,Clouds
2026-03-06 00:00:07,1.76,93,Mist
2026-03-06 02:07:03,3.4,65,Clouds
2026-03-06 04:16:11,3.76,75,Clouds
2026-03-06 05:15:10,3.76,70,Mist
2026-03-06 05:59:43,3.5,56,Clouds
2026-03-06 06:49:19,4.26,45,Clouds
2026-03-06 07:28:48,2.76,70,Clouds
2026-03-06 07:57:25,2.76,70,Haze
2026-03-06 08:30:10,2.76,70,Haze
2026-03-06 09:03:15,2.76,70,Haze
2026-03-06 09:51:46,2.76,65,Haze
2026-03-06 10:20:17,0.76,75,Clouds
2026-03-06 10:57:38,0.76,75,Haze
2026-03-06 11:23:19,1.23,45,Clouds
2026-03-06 11:46:59,0.88,43,Clouds
2026-03-06 12:00:31,0.88,43,Clouds
2026-03-06 13:00:08,0.29,41,Clear
2026-03-06 13:56:11,0.16,40,Clear
2026-03-06 14:29:31,0.16,40,Clear
2026-03-06 15:04:21,-0.24,64,Clouds
2026-03-06 15:49:40,-0.5,36,Clear
2026-03-06 16:21:54,-1.24,64,Clear
2026-03-06 17:02:02,-0.93,35,Clear
2026-03-06 17:40:25,-1.24,69,Clear
2026-03-06 18:03:53,-1.24,69,Clear
2026-03-06 18:58:58,-3.24,80,Clear
2026-03-06 19:32:35,-1.4,34,Clear
2026-03-06 19:56:19,-1.4,34,Clear
2026-03-06 20:20:54,-3.24,80,Clear
